/tmp/.tmpLbuLuB/environments-v2/run-h33-vast-65d99f552ec87785/lib/python3.12/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
ogbl-biokg loaded in 6s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
step 1000/50000  loss 8.476  (6s)  lr=0.0049950668,0.29970401
step 2000/50000  loss 5.322  (12s)  lr=0.0049802868,0.29881721
step 3000/50000  loss 7.832  (18s)  lr=0.0049557181,0.29734309
step 4000/50000  loss 5.027  (23s)  lr=0.0049214579,0.29528747
step 5000/50000  loss 4.646  (29s)  lr=0.0048776413,0.29265848
[probe@5000] MRR 0.6329  hits@1 0.5180  hits@3 0.7020  hits@10 0.8563
step 6000/50000  loss 4.831  (35s)  lr=0.0048244412,0.28946647
step 7000/50000  loss 4.634  (41s)  lr=0.0047620676,0.28572406
step 8000/50000  loss 5.329  (47s)  lr=0.0046907667,0.281446
step 9000/50000  loss 6.862  (53s)  lr=0.0046108198,0.27664919
step 10000/50000  loss 4.453  (59s)  lr=0.0045225425,0.27135255
[probe@10000] MRR 0.6852  hits@1 0.5768  hits@3 0.7563  hits@10 0.8875
step 11000/50000  loss 4.197  (65s)  lr=0.0044262831,0.26557699
step 12000/50000  loss 5.235  (71s)  lr=0.0043224216,0.25934529
step 13000/50000  loss 4.373  (76s)  lr=0.0042113678,0.25268207
step 14000/50000  loss 3.948  (82s)  lr=0.00409356,0.2456136
step 15000/50000  loss 4.144  (88s)  lr=0.0039694631,0.23816779
[probe@15000] MRR 0.7121  hits@1 0.6074  hits@3 0.7829  hits@10 0.9041
step 16000/50000  loss 6.544  (93s)  lr=0.003839567,0.23037402
step 17000/50000  loss 3.883  (97s)  lr=0.0037043842,0.22226305
step 18000/50000  loss 5.062  (101s)  lr=0.0035644482,0.21386689
step 19000/50000  loss 5.022  (105s)  lr=0.0034203114,0.20521868
step 20000/50000  loss 4.226  (109s)  lr=0.0032725425,0.19635255
[probe@20000] MRR 0.7345  hits@1 0.6355  hits@3 0.8060  hits@10 0.9156
step 21000/50000  loss 3.857  (113s)  lr=0.0031217247,0.18730348
step 22000/50000  loss 5.167  (117s)  lr=0.0029684533,0.1781072
step 23000/50000  loss 4.934  (121s)  lr=0.0028133331,0.16879999
step 24000/50000  loss 4.771  (125s)  lr=0.0026569763,0.15941858
step 25000/50000  loss 4.140  (129s)  lr=0.0025,0.15
[probe@25000] MRR 0.7585  hits@1 0.6669  hits@3 0.8253  hits@10 0.9221
step 26000/50000  loss 4.957  (133s)  lr=0.0023430237,0.14058142
step 27000/50000  loss 4.041  (137s)  lr=0.0021866669,0.13120001
step 28000/50000  loss 3.706  (140s)  lr=0.0020315467,0.1218928
step 29000/50000  loss 3.632  (144s)  lr=0.0018782753,0.11269652
step 30000/50000  loss 3.257  (148s)  lr=0.0017274575,0.10364745
[probe@30000] MRR 0.7758  hits@1 0.6913  hits@3 0.8343  hits@10 0.9286
step 31000/50000  loss 5.968  (152s)  lr=0.0015796886,0.094781317
step 32000/50000  loss 3.388  (156s)  lr=0.0014355518,0.086133106
step 33000/50000  loss 4.894  (160s)  lr=0.0012956158,0.077736949
step 34000/50000  loss 3.454  (164s)  lr=0.001160433,0.069625981
step 35000/50000  loss 4.857  (168s)  lr=0.0010305369,0.061832212
[probe@35000] MRR 0.7905  hits@1 0.7101  hits@3 0.8490  hits@10 0.9349
step 36000/50000  loss 4.897  (172s)  lr=0.00090644003,0.054386402
step 37000/50000  loss 4.710  (176s)  lr=0.00078863224,0.047317934
step 38000/50000  loss 5.030  (180s)  lr=0.00067757843,0.040654706
step 39000/50000  loss 3.648  (183s)  lr=0.00057371689,0.034423014
step 40000/50000  loss 4.883  (187s)  lr=0.00047745751,0.028647451
[probe@40000] MRR 0.8056  hits@1 0.7315  hits@3 0.8577  hits@10 0.9398
step 41000/50000  loss 3.304  (191s)  lr=0.00038918019,0.023350811
step 42000/50000  loss 3.387  (195s)  lr=0.0003092333,0.018553998
step 43000/50000  loss 5.585  (199s)  lr=0.00023793237,0.014275942
step 44000/50000  loss 3.433  (203s)  lr=0.00017555879,0.010533527
step 45000/50000  loss 4.804  (207s)  lr=0.00012235871,0.0073415226
[probe@45000] MRR 0.8108  hits@1 0.7373  hits@3 0.8649  hits@10 0.9399
step 46000/50000  loss 4.924  (211s)  lr=7.8542097e-05,0.0047125258
step 47000/50000  loss 3.229  (215s)  lr=4.4281873e-05,0.0026569124
step 48000/50000  loss 3.115  (219s)  lr=1.9713247e-05,0.0011827948
step 49000/50000  loss 3.009  (223s)  lr=4.9331789e-06,0.00029599074
step 50000/50000  loss 3.143  (227s)  lr=0,0
[probe@50000] MRR 0.8143  hits@1 0.7429  hits@3 0.8671  hits@10 0.9410

=== OGB official evaluation ===
[valid] MRR 0.8155  hits@1 0.7453  hits@3 0.8654  hits@10 0.9414
leaderboard context: TransE 0.745, RotatE 0.799, DistMult 0.804, ComplEx 0.810, top ~0.86
