ogbl-biokg loaded in 10s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 12.755  (93s)
step 2000/50000  loss 6.524  (185s)
step 3000/50000  loss 5.972  (275s)
step 4000/50000  loss 5.632  (352s)
step 5000/50000  loss 5.319  (409s)
step 6000/50000  loss 5.328  (467s)
step 7000/50000  loss 5.510  (525s)
step 8000/50000  loss 5.453  (582s)
step 9000/50000  loss 5.303  (640s)
step 10000/50000  loss 7.331  (697s)
step 11000/50000  loss 5.298  (755s)
step 12000/50000  loss 5.066  (810s)
step 13000/50000  loss 5.090  (867s)
step 14000/50000  loss 5.186  (923s)
step 15000/50000  loss 6.878  (980s)
step 16000/50000  loss 4.579  (1037s)
step 17000/50000  loss 6.840  (1095s)
step 18000/50000  loss 5.149  (1152s)
step 19000/50000  loss 4.575  (1209s)
step 20000/50000  loss 4.245  (1267s)
step 21000/50000  loss 4.332  (1324s)
step 22000/50000  loss 4.234  (1381s)
step 23000/50000  loss 6.412  (1438s)
step 24000/50000  loss 3.595  (1494s)
