                 group        n     student  k256_refit    k4096_w8    k4096_w4  w4_refit_full
         query tier <8   299080      0.9195      0.9000      0.9114      0.9027      0.9091
       query tier 8-63   257654      0.8477      0.8286      0.8388      0.8251      0.8349
    query tier 64-1023   119262      0.4674      0.4519      0.4590      0.4564      0.4614
     query tier >=1024   182916      0.3722      0.3454      0.3670      0.3651      0.3582
        answer tier <8   299080      0.4658      0.4327      0.4411      0.4262      0.4473
      answer tier 8-63   257654      0.7016      0.6735      0.7038      0.6942      0.6866
   answer tier 64-1023   119262      0.9708      0.9696      0.9706      0.9712      0.9706
    answer tier >=1024   182916      0.9918      0.9904      0.9926      0.9928      0.9902
        tail questions   429456      0.9619      0.9558      0.9574      0.9526      0.9581
        head questions   429456      0.4754      0.4407      0.4644      0.4533      0.4566
